rank | score | depth | no. trees
--------------------------
180 | 0.55117095 | 3 | 1 |
174 | 0.61212546 | 3 | 11 |
173 | 0.62384357 | 3 | 21 |
171 | 0.62717293 | 3 | 31 |
172 | 0.62670451 | 3 | 41 |
166 | 0.63020618 | 3 | 51 |
170 | 0.6281771 | 3 | 61 |
167 | 0.62981205 | 3 | 71 |
169 | 0.62928285 | 3 | 81 |
168 | 0.62965889 | 3 | 91 |
149 | 0.63351017 | 3 | 101 |
160 | 0.63220244 | 3 | 111 |
145 | 0.63432894 | 3 | 121 |
163 | 0.63147316 | 3 | 131 |
161 | 0.63193606 | 3 | 141 |
158 | 0.63225669 | 3 | 151 |
164 | 0.63094793 | 3 | 161 |
153 | 0.63310689 | 3 | 171 |
162 | 0.63149588 | 3 | 181 |
156 | 0.63299154 | 3 | 191 |
155 | 0.63305021 | 3 | 201 |
157 | 0.63255776 | 3 | 211 |
144 | 0.63440385 | 3 | 221 |
159 | 0.63221508 | 3 | 231 |
147 | 0.63392255 | 3 | 241 |
154 | 0.633103 | 3 | 251 |
152 | 0.63310929 | 3 | 261 |
146 | 0.63432092 | 3 | 271 |
150 | 0.63328502 | 3 | 281 |
151 | 0.63316932 | 3 | 291 |
178 | 0.56719043 | 4 | 1 |
165 | 0.63065437 | 4 | 11 |
143 | 0.63685071 | 4 | 21 |
148 | 0.63377824 | 4 | 31 |
141 | 0.63965465 | 4 | 41 |
140 | 0.64068472 | 4 | 51 |
137 | 0.64243061 | 4 | 61 |
139 | 0.64178064 | 4 | 71 |
138 | 0.64198424 | 4 | 81 |
129 | 0.64520467 | 4 | 91 |
136 | 0.64460634 | 4 | 101 |
131 | 0.64511236 | 4 | 111 |
122 | 0.64630233 | 4 | 121 |
128 | 0.64540409 | 4 | 131 |
120 | 0.64675578 | 4 | 141 |
130 | 0.64518883 | 4 | 151 |
135 | 0.64491379 | 4 | 161 |
123 | 0.64625937 | 4 | 171 |
116 | 0.64749216 | 4 | 181 |
132 | 0.64510862 | 4 | 191 |
115 | 0.64754812 | 4 | 201 |
124 | 0.6462382 | 4 | 211 |
117 | 0.64734808 | 4 | 221 |
134 | 0.64509513 | 4 | 231 |
126 | 0.64602582 | 4 | 241 |
133 | 0.64510696 | 4 | 251 |
118 | 0.64729767 | 4 | 261 |
127 | 0.64594773 | 4 | 271 |
125 | 0.64607766 | 4 | 281 |
121 | 0.64663341 | 4 | 291 |
179 | 0.56197644 | 5 | 1 |
142 | 0.63689639 | 5 | 11 |
114 | 0.64965154 | 5 | 21 |
111 | 0.65451816 | 5 | 31 |
110 | 0.65489454 | 5 | 41 |
112 | 0.65333309 | 5 | 51 |
104 | 0.65632171 | 5 | 61 |
101 | 0.65714714 | 5 | 71 |
100 | 0.65727238 | 5 | 81 |
105 | 0.65595358 | 5 | 91 |
106 | 0.65577567 | 5 | 101 |
109 | 0.65528217 | 5 | 111 |
103 | 0.65644985 | 5 | 121 |
108 | 0.65551758 | 5 | 131 |
102 | 0.65666114 | 5 | 141 |
86 | 0.65907656 | 5 | 151 |
